station_code,station_name,city,state,zone,latitude,longitude,active
AAG,ANGAR,ANGAR,Unknown,Unknown,17.954256,75.599875,true
AAK,ANKAI KILA,ANKAI KILA,Unknown,Unknown,20.183180430100002,74.4368553961,true
AAL,AMLAI,AMLAI,Unknown,Unknown,23.173469,81.593507,true
AAP,AMBIAPUR,AMBIAPUR,Unknown,Unknown,26.515363999999998,79.826878,true
AAR,ADESAR,Dist. Kachchh,Gujarat,WR,23.552978399500002,70.9720505023,true
AAS,ASRANADA,ASRANADA,Unknown,Unknown,26.397374,73.30532500000001,true
AAY,ARALVAYMOZHI,Dist. Kanniyakumari,Tamil Nadu,SR,8.2494513612,77.5292646945,true
AB,AMBUR,AMBUR,Unknown,Unknown,12.782934,78.721266,true
ABB,ABADA,ABADA,Unknown,Unknown,22.547877,88.19939199999999,true
ABD,AMBLI ROAD,AMBLI ROAD,Unknown,Unknown,23.05437,72.494044,true
ABFC,AMBARI FALAKATA,AMBARI FALAKATA,Unknown,Unknown,26.641553000000002,88.510593,true
ABGT,ARBAGATTA HALT,State Highway 47,Karnataka,SWR,13.907468,76.13497100000001,true
ABH,AMBARNATH,AMBARNATH,Unknown,Unknown,19.210382000000003,73.184756,true
ABI,AMBATURAI,AMBATURAI,Unknown,Unknown,10.272226,77.924468,true
ABKA,AMBIKA KALNA,Kalna,West Bengal,ER,23.211377,88.353984,true
ABLE,AMBALE,Malshiras Rd,Maharashtra,CR,18.398719,74.171511,true
ABO,ASTHAL BOHAR,Rohtak,Haryana,NR,28.857765,76.629155,true
ABP,AKBARPUR,AKBARPUR,Unknown,Unknown,26.429818,82.539073,true
ABR,ABU ROAD,Sirohi Dist,Rajasthan,NWR,24.470775,72.775695,true
ABU,AMBATTUR,AMBATTUR,Unknown,Unknown,13.114305980800001,80.1525249074,true
ABW,Abutara Halt,Dinhata,West Bengal,NFR,26.0707762,89.5868746,true
ABY,AMBIVLI,AMBIVLI,Unknown,Unknown,19.267587,73.17171,true
ACAB,A-CABIN BONDAMUNDA,A-CABIN BONDAMUNDA,Unknown,Unknown,22.23969,84.945577,true
ACG,ACHEGAON,ACHEGAON,Unknown,Unknown,20.976217,75.934247,true
ACK,ACHARAPAKKAM,ACHARAPAKKAM,Unknown,Unknown,12.406776,79.821722,true
ACL,ANCHELI,Navsari,Gujarat,WR,20.845167,72.944978,true
ACLE,AZIMGANJ CITY,Police Station Rd,West Bengal,ER,24.237941,88.25887100000001,true
ACND,ACHARYA NARENDRA DEV NAGAR,ACHARYA NARENDRA DEV NAGAR,Unknown,Unknown,26.774576,82.156997,true
ACU,ACHUARA HALT,ACHUARA HALT,Unknown,Unknown,25.45273,85.661087,true
