train_number,train_name,train_type,running_days,active
12621,Tamil Nadu Express,EXPRESS,127,true
12622,Tamil Nadu Express,EXPRESS,127,true
11019,Konark Express,EXPRESS,127,true
11020,Konark Express,EXPRESS,127,true
12759,Charminar Express,EXPRESS,127,true
12760,Charminar Express,EXPRESS,127,true
12429,Bangalore - Hazrat Nizamuddin Rajdhani Express,RAJDHANI,127,true
12430,Delhi H Nizamuddin-Bangalore Rajdhani Express,RAJDHANI,127,true
12493,Bangalore-Hazrat Nizammudin Rajdhani Express,RAJDHANI,127,true
12494,Hazrat Nizamuddin-Bangalore Rajdhani Express,RAJDHANI,127,true
12723,Andhra Pradesh Express,EXPRESS,127,true
12724,Andhra Pradesh Express,EXPRESS,127,true
12841,Coromandel Express,EXPRESS,127,true
12842,Coromandel Express,EXPRESS,127,true
12739,Visakhapatnam Secunderabad Garib Rath Express,GARIB_RATH,127,true
12740,Secunderabad-Visakhapatnam Garib Rath,GARIB_RATH,127,true
12711,Pinakini Express,EXPRESS,127,true
12712,Pinakini Express,EXPRESS,127,true
12219,Lokmanya Tilak (T)-Secunderabad AC Duronto Express,DURONTO,127,true
12220,Secunderabad-Mumbai LTT AC Duronto Express,DURONTO,127,true
12951,Mumbai Central-New Delhi Rajdhani Express,RAJDHANI,127,true
12952,Mumbai Rajdhani Express,RAJDHANI,127,true
12027,CHENNAI CENT - BANGALORE CITY Shatabdi Exp,SHATABDI,127,true
12028,BANGALORE CITY - CHENNAI CENT Shatabdi Exp,SHATABDI,127,true
12243,Chennai Central-Coimbatore AC Duronto Express,DURONTO,127,true
12244,Coimbatore-Chennai Central AC Duronto Express,DURONTO,127,true
12269,Chennai-Hazrat Nizamuddin Duronto Express,DURONTO,127,true
12270,Hazrat Nizamuddin-Chennai Duronto,DURONTO,127,true
12433,Chennai Central-Delhi H.Nizamuddin Rajdhani Expres,RAJDHANI,127,true
12434,Delhi H.Nizamuddin-Chennai Central Rajdhani Expres,RAJDHANI,127,true
12245,HOWRAH - YESVANTPUR AC Duronto Exp,DURONTO,127,true
12246,YESVANTPUR - HOWRAH AC Duronto Exp,DURONTO,127,true
12213,Yeswantpur-Delhi Sarai Rohilla AC Duronto Express,DURONTO,127,true
12214,Delhi Sarai Rohilla-Yesvantpur AC Duronto Express,DURONTO,127,true
12285,Secunderabad- Hazrat Nizamuddin Duronto Express,DURONTO,127,true
12286,Hazrat Nizamuddin-Secunderabad Duronto Express,DURONTO,127,true
12437,Secunderabad Rajdhani Express,RAJDHANI,127,true
12438,Secunderabad Rajdhani Express,RAJDHANI,127,true
12441,Bilaspur-New Delhi Rajdhani Express,RAJDHANI,127,true
12442,Bilaspur Rajdhani Express,RAJDHANI,127,true
12077,Chennai Vijayawada Jan Shatabdi Express,SHATABDI,127,true
12078,Vijayawada Chennai Jan Shatabdi,SHATABDI,127,true
12001,Bhopal-New Delhi Shatabdi Express,SHATABDI,127,true
12002,New Delhi-Bhopal Shatabdi Express,SHATABDI,127,true
12025,Pune-Secunderabad Shatabdi Express,SHATABDI,127,true
12026,Secunderabad-Pune Shatabdi,SHATABDI,127,true
12957,Ahmadabad-New Delhi Swarna Jayanti Rajdhani Expres,RAJDHANI,127,true
12958,New Delhi-Ahmedabad Swarna Jayanti Rajdhani Expres,RAJDHANI,127,true
12007,CHENNAI CENT - MYSORE Shatabdi Express,SHATABDI,127,true
12008,MYSORE - CHENNAI CENT Shatabdi Express,SHATABDI,127,true
12221,PUNE - HOWRAH AC Duronto Exp,DURONTO,127,true
12222,HOWRAH - PUNE AC Duronto Exp,DURONTO,127,true
12305,Howrah-New Delhi Rajdhani Express,RAJDHANI,127,true
12306,New Delhi-Howrah Rajdhani Express,RAJDHANI,127,true
12261,MUMBAI CST - HOWRAH AC Duronto Exp,DURONTO,127,true
12262,HOWRAH - MUMBAI CST AC Duronto Exp,DURONTO,127,true
12289,Mumbai CSTM-Nagpur Duronto Express,DURONTO,127,true
12290,Nagpur-Mumbai CST Duronto Express,DURONTO,127,true
12239,Mumbai Central Jaipur AC Duronto Express,DURONTO,127,true
12240,Jaipur-Mumbai Central AC Duronto Express,DURONTO,127,true
12283,ERNAKULAM - DELHI H NIZAMUDDIN Duronto Exp,DURONTO,127,true
12284,DELHI H NIZAMUDDIN - ERNAKULAM Duronto Exp,DURONTO,127,true
12953,MumbaiCentral-H Nizamuddin August Kranti Rajdhani Express,RAJDHANI,127,true
12954,August Kranti Rajdhani Express,RAJDHANI,127,true
12431,TRIVANDRUM - DELHI H NIZAMUDDIN Rajdhani Exp,RAJDHANI,127,true
12432,DELHI H NIZAMUDDIN - TRIVANDRUM Rajdhani Exp,RAJDHANI,127,true
12263,Pune - Hazrat Nizamuddin AC Duronto Express,DURONTO,127,true
12264,Hazrat Nizamuddin-Pune AC Duronto Express,DURONTO,127,true
12015,New Delhi-Ajmer Shatabdi,SHATABDI,127,true
12016,Ajmer-New Delhi Shatabdi,SHATABDI,127,true
12073,Howrah-Bhubaneswar Jan Shatabdi Express,SHATABDI,127,true
12074,Bhubaneswar-Howrah Jan Shatabdi Express,SHATABDI,127,true
12079,Bangalore City-Hubli Jan Shatabdi,SHATABDI,127,true
12080,Hubli Bangalore Janshatabdi,SHATABDI,127,true
12277,Howrah Puri Duronto Express,DURONTO,127,true
12278,Puri-Howrah AC Duronto Express,DURONTO,127,true
12271,Lucknow-New Delhi AC Duronto Express,DURONTO,127,true
12272,New Delhi-Lucknow AC Duronto Express,DURONTO,127,true
12023,Howrah-Patna Jan Shatabdi,SHATABDI,127,true
12024,Patna-Howrah Jan Shatabdi,SHATABDI,127,true
